 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
1,538.847,260.543,229.318,796.163,199.798,318.419,360.549,111.749,235.171,144.033,391.143,593.634,136.624,135.442,122.929
2,539.625,279.943,231.898,839.192,190.657,323.114,355.877,114.382,236.230,137.918,402.752,590.654,137.633,138.451,125.097
3,541.865,276.639,235.576,831.120,194.010,307.957,354.225,113.440,243.118,140.967,377.209,595.154,143.626,138.891,127.573
4,525.633,264.082,236.744,846.210,191.732,299.486,349.384,113.511,243.829,136.731,400.744,579.310,136.534,147.077,128.928
5,518.302,271.379,228.344,817.358,196.669,287.948,359.157,109.720,235.174,142.291,377.647,564.823,139.392,149.854,129.122
6,509.092,268.900,235.220,833.123,189.497,304.557,342.700,112.527,242.115,136.852,377.401,618.503,149.333,165.254,133.778
7,484.415,246.879,236.464,833.843,188.283,308.052,334.873,115.504,228.836,134.676,379.012,599.249,141.292,154.806,133.228
8,457.633,254.625,225.887,773.448,198.705,277.724,352.759,111.853,232.816,137.863,359.706,605.727,141.039,154.543,134.763
9,459.938,250.221,219.996,745.758,203.389,331.157,350.429,108.811,238.355,145.093,371.532,595.376,141.060,154.712,127.009
10,473.328,251.354,220.820,717.413,197.396,321.886,358.125,106.802,240.842,137.363,343.212,590.459,139.443,154.782,129.320
11,491.508,247.461,225.689,716.435,189.197,334.405,343.699,109.644,242.678,137.956,333.460,620.819,141.762,156.754,139.538
12,506.267,242.354,236.642,730.827,187.821,318.433,349.361,110.611,236.276,136.088,334.048,612.091,135.158,158.915,129.009
13,535.917,249.200,232.240,763.252,189.932,292.957,340.627,110.422,233.056,142.995,342.021,598.691,130.357,155.454,135.244
14,521.143,253.939,232.180,748.843,183.707,287.652,327.662,111.422,237.099,137.242,361.859,615.229,128.225,163.094,136.492
15,509.095,255.407,253.296,772.953,208.242,314.524,363.532,114.398,247.470,165.291,369.190,655.519,130.578,176.660,145.778
16,464.758,244.175,218.809,730.327,195.455,280.448,342.452,105.418,223.638,157.451,344.491,614.079,124.955,163.234,127.667
17,468.212,242.600,224.505,742.433,188.798,285.619,336.746,106.018,231.464,158.731,364.711,613.500,138.726,160.689,132.670
18,464.033,240.793,224.429,739.472,190.525,276.071,343.678,109.293,232.016,154.011,357.836,599.111,139.020,160.897,128.407
19,470.975,244.425,220.385,749.042,194.881,260.086,352.909,105.989,224.796,165.335,372.589,586.900,141.986,166.834,131.608
20,477.600,239.525,235.416,774.623,184.258,278.205,328.234,108.500,232.319,152.753,364.658,609.786,139.155,155.229,129.110
21,462.872,232.004,227.269,779.462,188.614,276.233,335.270,108.022,238.809,149.709,364.107,593.997,142.151,157.551,131.084
22,463.560,234.504,227.098,767.687,190.015,262.181,340.541,107.360,238.023,161.451,355.639,566.310,138.747,153.975,133.795
23,473.160,232.936,233.718,804.602,177.909,270.605,334.260,108.127,242.579,159.676,342.744,569.216,142.365,158.306,133.137
24,449.755,233.504,218.649,789.082,184.379,282.971,349.480,104.598,235.263,161.143,326.737,550.981,139.802,159.992,132.003
25,454.723,236.739,226.916,780.858,184.578,296.843,350.735,104.420,235.921,161.060,342.470,550.690,145.668,155.329,135.014
26,444.125,234.114,226.738,745.562,182.402,290.905,357.538,104.929,235.786,159.527,330.189,486.577,148.785,165.971,135.065
27,454.395,231.261,252.276,717.855,176.288,290.181,344.240,106.849,232.339,156.808,332.054,501.176,149.200,162.449,139.567
28,469.112,223.236,233.647,706.372,182.525,291.600,361.846,101.756,223.023,165.000,313.253,480.520,149.907,158.758,133.480
29,500.370,224.593,237.960,736.208,185.212,287.067,372.836,101.600,218.891,156.709,317.215,508.951,153.379,156.849,136.911
30,457.462,222.454,224.429,726.557,184.894,272.948,371.083,100.487,219.674,160.352,294.522,507.113,148.835,151.238,131.424
31,473.875,222.868,230.747,746.738,180.253,270.705,363.174,103.387,221.812,150.604,301.140,515.253,141.087,158.443,132.897
32,486.055,229.600,227.095,756.915,188.624,286.819,375.999,103.431,220.934,161.385,302.928,515.607,141.369,150.712,143.683
33,449.707,221.761,229.276,761.988,186.008,274.838,385.826,103.220,224.316,150.824,309.156,489.443,140.634,153.068,141.192
34,451.258,212.221,231.038,773.950,179.763,282.300,381.081,104.764,219.418,145.016,308.721,500.606,137.239,149.842,136.103
35,458.955,203.914,239.676,776.602,174.389,271.038,379.902,105.676,218.951,139.060,315.616,503.410,144.269,153.351,138.995
36,451.383,206.529,229.755,757.168,181.980,274.019,397.661,105.651,214.592,147.637,300.542,482.929,143.328,153.085,134.498
37,1644.825,1057.729,1161.245,4072.080,1070.207,944.957,2137.177,572.320,1147.829,760.698,1503.291,1423.031,326.075,680.248,520.496
38,1636.980,1077.336,1157.989,4091.468,1049.672,944.000,2125.976,586.207,1127.536,755.566,1484.069,1432.380,322.352,676.005,521.618
39,1662.505,1088.014,1224.153,4088.367,1000.487,969.676,2053.927,621.196,1114.293,737.632,1542.872,1485.860,320.498,677.426,520.353
40,1680.155,1102.168,1233.507,4082.527,975.932,971.062,2015.003,648.269,1136.812,744.242,1561.241,1522.211,312.245,674.585,519.905
41,1593.953,1117.746,1147.369,3919.385,1014.732,930.438,2078.643,623.524,1142.572,796.489,1486.110,1460.819,297.396,656.551,501.658
42,1578.762,1124.186,1133.047,3855.965,1009.520,920.524,2066.024,613.738,1164.266,794.769,1487.021,1455.646,287.304,654.140,495.030
43,1554.730,1109.211,1135.469,3767.177,1009.439,926.010,2064.333,607.124,1162.885,803.824,1497.723,1451.559,279.182,648.543,489.688
44,1559.218,1094.975,1164.342,3762.385,969.230,940.676,1978.517,621.684,1132.007,770.341,1566.839,1489.750,279.735,652.065,490.878
45,1489.328,1115.950,1065.682,3687.318,1020.687,925.076,2067.793,592.907,1094.234,802.863,1607.350,1442.004,286.787,655.698,493.766
46,1488.752,1154.271,1012.922,3754.108,1035.927,905.548,2083.184,590.951,1051.247,802.104,1654.013,1466.769,294.575,655.452,511.161
47,1515.120,1142.432,970.945,3797.942,1039.985,894.005,2092.074,571.242,1032.099,790.610,1671.097,1483.399,288.535,650.918,516.374
48,1534.035,1105.121,922.340,3799.087,1037.578,888.824,2063.471,554.584,1033.842,766.132,1673.054,1458.714,281.670,639.022,515.744
49,1521.280,1085.111,895.545,3782.237,1020.854,883.005,2039.613,547.802,1055.743,760.137,1655.977,1433.731,283.458,636.317,516.017
